Drug	Target	Combine_score	BioScore	PredictScore	LiteScore
Dexamethasone	SLC7A3	0.897433238	0	0	0.897433238
Dexamethasone	AQP2	1	0	0	1
Dexamethasone	CYP20A1	0.215091786	0	0	0.215091786
Dexamethasone	ARHGAP44	0.5450828	0	0	0.5450828
Dexamethasone	AKAP2	0.902313096	0	0	0.902313096
Dexamethasone	SLC2A3	0.999936319	0	0	0.999936319
Dexamethasone	CD28	0.999999989	0	0	0.999999989
Dexamethasone	AQP7	0.940438855	0	0	0.940438855
Dexamethasone	CCR3	0.99999776	0	0	0.99999776
Dexamethasone	NET1	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	MAPK3	1	0	0	1
Dexamethasone	HSPG2	0.999997527	0	0	0.999997527
Dexamethasone	RAB3C	0.200977212	0	0	0.200977212
Dexamethasone	TUSC2	0.967195716	0	0	0.967195716
Dexamethasone	CCL11	0.718463682	0	0	0.718463682
Dexamethasone	ICAM2	0.999038853	0	0	0.999038853
Dexamethasone	NISCH	0.999992955	0	0	0.999992955
Dexamethasone	CIT	0.999999995	0	0	0.999999995
Dexamethasone	IGF2	1	0	0	1
Dexamethasone	RPE	1	0	0	1
Dexamethasone	SLC9A2	0.994958926	0	0	0.994958926
Dexamethasone	TRIB3	0.973884621	0	0	0.973884621
Dexamethasone	SP2	0.998423229	0	0	0.998423229
Dexamethasone	CRH	1	0	0	1
Dexamethasone	CPD	0.996662151	0	0	0.996662151
Dexamethasone	IGHE	1	0	0	1
Dexamethasone	HDAC4	0.973798882	0	0	0.973798882
Dexamethasone	ZAP70	0.999999994	0	0	0.999999994
Dexamethasone	TTR	1	0	0	1
Dexamethasone	PTPN22	1	0	0.333333333333333	1
Dexamethasone	MOK	0.547431483	0	0	0.547431483
Dexamethasone	NR1I3	0.705167407	0.5	0.333333333333333	0.115502221
Dexamethasone	KLK3	1	0	0	1
Dexamethasone	ANGPTL3	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	CHRNB3	1	0	0	1
Dexamethasone	PRDX2	0.999999989	0	0	0.999999989
